Species	Tribe	SAFARI_F	Digger_F	Evidence_Level	Mapped	Spliced	Clips	Validation	SAFARI_correct	Digger_correct
Odocoileus virginianus	Cervidae	1	2	4	6953000	966000	0	RNA-seq 8 samples	YES	YES
Cervus elaphus	Cervini	2	2	4	1627661	209678	0	RNA-seq 6 samples	YES	YES
Bos mutus	Bovini	1	0	4	1031357	211019	0	RNA-seq 3 samples	YES	NO
Bison bison	Bovini	3	0	4	469000	80000	0	RNA-seq 5 samples	YES	NO
Bison bonasus	Bovini	1	0	4	327000	22000	0	RNA-seq 1 cross-species	YES	NO
Saiga tatarica	Antilopini	1	8	3+	2819	0	239	WGS 4 individuals	YES	YES
Kobus ellipsiprymnus	Reduncini	2	2	3+	775	0	728	WGS 3 individuals	YES	YES
Bos javanicus	Bovini	4	2	3+	423	0	354	WGS 5 individuals	YES	YES
Connochaetes taurinus	Alcelaphini	2	2	2+	258	0	73	WGS 5 individuals	YES	YES
Oryx dammah	Hippotragini	1	0	3	733	0	25	WGS 10 individuals	YES	NO
Hippotragus niger	Hippotragini	1	2	2+	43	0	5	WGS 6 samples	YES	YES
Addax nasomaculatus	Hippotragini	1	24	2+	39	0	4	WGS 1 sample	YES	YES
Summary (12 validated)	7 tribes + Cervidae	-	-	-	-	-	-	-	12/12 (100.0%)	8/12 (66.7%)
