Panel	Metric	Value	Notes
A. Genome	Assembly	ARS-UCD2.0 (GCF_002263795.3)	Bos taurus Hereford L1 Dominette
A. Genome	Locus	NC_037348.1 (chr21):1-300000	IGHJ cluster region
A. Genome	IMGT Reference	6 IGHJ genes (IGHJ1-6)	4 Functional in IMGT
B. SAFARI Pipeline	Total Candidates	5	Genome-wide BLAST
B. SAFARI Pipeline	On-locus (chr21)	2	JH_03 (77749) + JH_04 (206756)
B. SAFARI Pipeline	JH_03 Classification	Functional	WGQG, IC=20.27
B. SAFARI Pipeline	JH_04 Classification	Functional	WGRG, IC=24.69
B. SAFARI Pipeline	Off-locus	3	JH_01 (chr6 ORF), JH_02 (chr14 ORF), JH_05 (chr24 ORF)
C. ML Model (Phase 2)	JH_03 Prediction	Functional (pF=0.724)	SAFARI+ML agree
C. ML Model (Phase 2)	JH_04 Prediction	Functional (pF=0.774)	SAFARI+ML agree
C. ML Model (Phase 2)	JH_01 Prediction	ORF (pF=0.142)	Off-locus, SAFARI+ML agree
C. ML Model (Phase 2)	JH_02 Prediction	Pseudogene (pF=0.081)	Off-locus, ML downgrades
C. ML Model (Phase 2)	JH_05 Prediction	Functional (pF=0.544)	Off-locus, borderline; ML upgrades from ORF
C. ML Model (Phase 2)	Total ML Functional	3	JH_03 + JH_04 (on-locus) + JH_05 (off-locus)
D. Digger Benchmark	Total Annotations	47	On 300kb locus only
D. Digger Benchmark	Functional IGHJ	3	Positions: 77748, 206755, 207674
D. Digger Benchmark	Pseudogene IGHJ	34	Scattered across locus
D. Digger Benchmark	IGHD found	5	2 Functional + 3 ORF
D. Digger Benchmark	IGHV found	5	All ORF
D. Digger Benchmark	Concordance with SAFARI	2/3 Functional shared	77748≈JH_03, 206755≈JH_04; Digger finds extra at 207674
E. RNA-seq Validation	Sample	SRR33253438	NovaSeq 6000, Bos taurus spleen, paired-end 150bp
E. RNA-seq Validation	Reads sampled	5,000,000 spots (10M reads)	Subset of 44.8M total spots
E. RNA-seq Validation	Mapped reads	647,265	Level 4 evidence
E. RNA-seq Validation	Spliced reads	163,164	JH-CH1 intron junction evidence
E. RNA-seq Validation	Soft-clips	378,597	V(D)J recombination evidence
G. Cross-species Comparison	Bos taurus (control)	SAFARI+ML: 3F / Digger: 3F	Concordant (2 shared on-locus, each has 1 different)
G. Cross-species Comparison	Bison bison	SAFARI+ML: 0F / Digger: 0F	Concordant — both conservative on this species
G. Cross-species Comparison	Bos mutus (Yak)	SAFARI+ML: 0F (pF=0.759 overridden) / Digger: 0F	Concordant — ML Bovini rules override high pF
G. Cross-species Comparison	Bison bonasus	SAFARI+ML: 1F (pF=0.643) / Digger: 0F	SAFARI+ML advantage — validated by 327K RNA-seq mapped reads
G. Cross-species Comparison	Odocoileus virginianus	SAFARI+ML: 1F (pF=0.520) / Digger: 2F	Digger advantage — cervid closer to cattle refs
G. Cross-species Comparison	Agreement rate	3/5 species concordant	SAFARI+ML unique advantage in Bison bonasus (RNA-seq validated)
G. Cross-species Comparison	SAFARI advantages	Works on fragmented genomes; calibrated probabilities; RNA-seq integration	Digger requires chromosome-level assemblies + species-specific IMGT refs
F. Summary	SAFARI+ML Functional (total)	3	JH_03 + JH_04 (on-locus) + JH_05 (off-locus, pF=0.544)
F. Summary	SAFARI+ML Functional (on-locus)	2	JH_03, JH_04
F. Summary	Digger Functional	3	Positions: 77748, 206755, 207674
F. Summary	SAFARI-Digger Overlap	2/2 on-locus SAFARI hits confirmed by Digger	100% precision for shared Functional hits
F. Summary	Digger-only Functional	1	Position 207674 (IGHJ4*01 match, score=72.34)
